,episode,reward,steps,epsilon
0,0,-265,10,1
1,1,-465,14,0.995
2,2,-46,7,0.990025
3,3,-417,15,0.985074875
4,4,-62,4,0.9801495006250001
5,5,-61,3,0.9752487531218751
6,6,-61,3,0.9703725093562657
7,7,-215,9,0.9655206468094844
8,8,-214,8,0.960693043575437
9,9,-66,6,0.9558895783575597
10,10,-247,13,0.9511101304657719
11,11,-314,10,0.946354579813443
12,12,-216,10,0.9416228069143757
13,13,-217,9,0.9369146928798039
14,14,-513,20,0.9322301194154049
15,15,-119,8,0.9275689688183278
16,16,-166,9,0.9229311239742362
17,17,-43,4,0.918316468354365
18,18,-151,12,0.9137248860125932
19,19,-64,5,0.9091562615825302
20,20,-423,17,0.9046104802746175
21,21,-161,5,0.9000874278732445
22,22,-111,4,0.8955869907338783
23,23,-95,7,0.8911090557802088
24,24,-11,2,0.8866535105013078
25,25,-13,4,0.8822202429488013
26,26,-266,10,0.8778091417340573
27,27,-62,4,0.8734200960253871
28,28,-13,4,0.8690529955452602
29,29,-63,4,0.8647077305675338
30,30,6,4,0.8603841919146962
31,31,-61,3,0.8560822709551227
32,32,-95,6,0.851801859600347
33,33,-11,2,0.8475428503023453
34,34,-151,12,0.8433051360508336
35,35,5,5,0.8390886103705794
36,36,-213,8,0.8348931673187264
37,37,-199,11,0.8307187014821328
38,38,-112,5,0.8265651079747222
39,39,-12,3,0.8224322824348486
40,40,-47,7,0.8183201210226743
41,41,-45,6,0.8142285204175609
42,42,-118,8,0.810157377815473
43,43,-63,5,0.8061065909263957
44,44,-216,9,0.8020760579717637
45,45,-467,16,0.798065677681905
46,46,-14,4,0.7940753492934954
47,47,-467,14,0.7901049725470279
48,48,-51,9,0.7861544476842928
49,49,-13,3,0.7822236754458713
50,50,-247,12,0.778312557068642
51,51,-344,12,0.7744209942832988
52,52,-93,6,0.7705488893118823
53,53,-48,9,0.7666961448653229
54,54,-13,3,0.7628626641409962
55,55,-12,3,0.7590483508202912
56,56,-265,11,0.7552531090661897
57,57,-45,6,0.7514768435208588
58,58,-161,5,0.7477194593032545
59,59,3,7,0.7439808620067382
60,60,-117,8,0.7402609576967045
61,61,8,3,0.736559652908221
62,62,-166,8,0.7328768546436799
63,63,-46,7,0.7292124703704616
64,64,6,5,0.7255664080186093
65,65,-65,5,0.7219385759785162
66,66,3,6,0.7183288830986236
67,67,-298,14,0.7147372386831305
68,68,-65,6,0.7111635524897149
69,69,-11,2,0.7076077347272662
70,70,-112,5,0.7040696960536299
71,71,-166,10,0.7005493475733617
72,72,-61,3,0.697046600835495
73,73,-99,10,0.6935613678313175
74,74,-216,10,0.6900935609921609
75,75,-61,3,0.6866430931872001
76,76,-118,10,0.6832098777212641
77,77,-67,7,0.6797938283326578
78,78,-220,11,0.6763948591909945
79,79,-44,6,0.6730128848950395
80,80,-119,9,0.6696478204705644
81,81,8,3,0.6662995813682115
82,82,-43,5,0.6629680834613705
83,83,-99,10,0.6596532430440636
84,84,-215,10,0.6563549768288433
85,85,-63,5,0.653073201944699
86,86,-17,7,0.6498078359349755
87,87,-44,6,0.6465587967553006
88,88,-165,8,0.6433260027715241
89,89,-65,7,0.6401093727576664
90,90,3,7,0.6369088258938781
91,91,-12,3,0.6337242817644086
92,92,7,4,0.6305556603555866
93,93,-44,6,0.6274028820538087
94,94,-49,9,0.6242658676435396
95,95,7,3,0.6211445383053219
96,96,-197,12,0.6180388156137953
97,97,-318,20,0.6149486215357263
98,98,-115,7,0.6118738784280476
99,99,8,3,0.6088145090359074
100,100,-11,2,0.6057704364907278
101,101,-14,4,0.6027415843082742
102,102,-12,3,0.5997278763867329
103,103,-65,6,0.5967292370047992
104,104,-95,7,0.5937455908197752
105,105,-93,6,0.5907768628656763
106,106,-112,5,0.5878229785513479
107,107,-17,6,0.5848838636585911
108,108,-111,4,0.5819594443402982
109,109,-63,5,0.5790496471185967
110,110,-95,7,0.5761543988830038
111,111,-16,6,0.5732736268885887
112,112,-11,2,0.5704072587541458
113,113,5,6,0.567555222460375
114,114,6,5,0.5647174463480732
115,115,3,8,0.5618938591163328
116,116,8,3,0.5590843898207511
117,117,7,4,0.5562889678716474
118,118,7,3,0.5535075230322891
119,119,-14,4,0.5507399854171277
120,120,-12,3,0.547986285490042
121,121,4,6,0.5452463540625918
122,122,5,6,0.5425201222922789
123,123,-98,9,0.5398075216808175
124,124,8,3,0.5371084840724134
125,125,-65,6,0.5344229416520513
126,126,-47,7,0.531750826943791
127,127,7,4,0.5290920728090721
128,128,8,3,0.5264466124450268
129,129,-11,2,0.5238143793828016
130,130,7,4,0.5211953074858876
131,131,-12,3,0.5185893309484582
132,132,8,3,0.5159963842937159
133,133,-61,3,0.5134164023722473
134,134,-93,6,0.510849320360386
135,135,-13,3,0.5082950737585841
136,136,-192,7,0.5057535983897912
137,137,-61,3,0.5032248303978422
138,138,-114,7,0.500708706245853
139,139,7,4,0.4982051627146237
140,140,-12,3,0.49571413690105054
141,141,-93,6,0.4932355662165453
142,142,5,6,0.4907693883854626
143,143,2,7,0.4883155414435353
144,144,-113,6,0.4858739637363176
145,145,-61,3,0.483444593917636
146,146,-121,12,0.4810273709480478
147,147,7,4,0.47862223409330756
148,148,-18,8,0.47622912292284103
149,149,-164,8,0.4738479773082268
150,150,3,6,0.47147873742168567
151,151,-61,3,0.46912134373457726
152,152,-42,4,0.46677573701590436
153,153,8,3,0.46444185833082485
154,154,-147,10,0.46211964903917074
155,155,-143,7,0.4598090507939749
156,156,-15,6,0.457510005540005
157,157,8,3,0.45522245551230495
158,158,-11,2,0.4529463432347434
159,159,-11,2,0.4506816115185697
160,160,-115,7,0.4484282034609769
161,161,-13,3,0.446186062443672
162,162,8,3,0.4439551321314536
163,163,6,5,0.4417353564707963
164,164,-113,6,0.43952667968844233
165,165,-45,7,0.43732904629000013
166,166,-12,3,0.4351424010585501
167,167,-61,3,0.43296668905325736
168,168,8,3,0.43080185560799106
169,169,4,7,0.4286478463299511
170,170,-265,11,0.42650460709830135
171,171,8,3,0.42437208406280985
172,172,-62,4,0.4222502236424958
173,173,-97,9,0.42013897252428334
174,174,-95,8,0.4180382776616619
175,175,-64,6,0.4159480862733536
176,176,4,6,0.41386834584198684
177,177,-65,7,0.4117990041127769
178,178,3,6,0.40974000909221303
179,179,7,4,0.40769130904675194
180,180,-13,4,0.40565285250151817
181,181,-119,11,0.4036245882390106
182,182,3,8,0.4016064652978155
183,183,7,4,0.3995984329713264
184,184,2,7,0.3976004408064698
185,185,7,4,0.39561243860243744
186,186,-45,7,0.3936343764094253
187,187,-43,5,0.39166620452737816
188,188,7,4,0.3897078735047413
189,189,8,3,0.3877593341372176
190,190,-15,6,0.3858205374665315
191,191,-145,9,0.38389143477919885
192,192,-12,3,0.3819719776053028
193,193,5,5,0.3800621177172763
194,194,-46,8,0.37816180712868996
195,195,-16,6,0.37627099809304654
